,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
45.0,1.0875575743566223e-06,4.947076040672538e-07,2.993637169365963e-07,3.4925963167405037e-07,3.2171078839835265e-07,5.687086480505836e-07,1.915297036717752e-07,5.910298004065568e-07,3.6079890462505324e-07,1.7413759425082006e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,2.5674148599736313e-07,6.768975899332169e-07,2.901768342188874e-07,2.5651761551672e-07,3.77283874994743e-07,-4.0092186371029335e-08,1.047546993117077e-06,2.0281888069152156e-07,3.3618472402944707e-07,5.286978213985954e-07,1.1991576144982897e-06,2.9277846356137594e-07,3.8811295310838773e-07,6.278174873809779e-07,1.0322063451268403e-06,1.063509838351779e-06,1.319967002407186e-07,1.1483981024587183e-06,3.900467984996741e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,5.722764829760392e-07,3.640115721092064e-07,3.490264202324595e-07,4.341983482979839e-07,4.579525177920566e-07,5.886710663553894e-07,2.30217376017213e-07,3.1965132383480387e-07,3.0127855959725635e-07,2.714104440762018e-07,2.814860947997743e-07,2.66147527378945e-07,4.0334538567151227e-07,6.826925695459072e-07,2.218605425498199e-07,3.5204582043935245e-07,1.8313168325772686e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,5.643055135329796e-07,6.696007413630047e-07,2.314286259509749e-07,2.6296347658453657e-07,3.257537663661609e-07,3.2743678614239933e-07,3.334467551130706e-07,3.698356840854596e-07,1.228241273974342e-06,2.374471934178783e-07,3.654635460778908e-07,3.967521400511574e-07,3.019680850763225e-07,4.13074297953369e-07,5.346330476832377e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,3.7754327180278716e-07,3.168108680713664e-07,3.1423411800085903e-07,2.8880178639930024e-07,1.2387073424341635e-06,3.7539866458416534e-07,3.7022181187705174e-07,3.774980052185581e-08,3.438452942240008e-07,2.485738384422068e-07,3.197500135335919e-07,5.466384032838056e-07,4.1947117962095607e-07,4.2853881926113947e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,2.8663773785503193e-07,3.555022342191325e-07,3.692416708694386e-07,3.496395342418476e-07,6.320065768083088e-07,6.437925670074572e-07,4.160140310992101e-07,2.589012959460911e-07,4.0446558542207926e-07,3.193857521448919e-07,3.859450882210785e-07,3.0154943774822806e-07,3.1520763651386326e-07,2.5926136315634045e-07,3.8247915013308175e-07,4.446919424181494e-07,3.661961326682291e-07,4.792205206763548e-07,4.253324993009038e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,2.6025717173974424e-07,4.391185506080578e-07,3.3003498695876494e-07,3.4888764997438905e-07,3.6988504071430595e-07,2.825987375383507e-07,3.7627835649105025e-07,4.788274295496628e-07,2.8723337095529054e-07,3.9566031846008715e-07,3.1773973845271273e-07,5.093562881724265e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,1.2954759668825594e-06,2.6835115714617566e-07,3.8838982850611093e-07,3.9602865290112205e-07,4.0753915590480384e-07,-9.746381420556054e-08,2.6960222235616e-07,4.383065857331072e-07,3.8403568961914225e-07,4.004196232543203e-07,3.7337556957854695e-07,2.8274769904606e-07,3.375371631983589e-07,3.7632810888494323e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,2.4768751162387194e-07,4.4897386202932535e-07,2.895849307557623e-07,2.497067328361447e-07,4.168660820032136e-07,1.9812405046359424e-07,1.3364273000435804e-06,2.699867540299549e-07,2.8048730905944766e-07,3.7985191720420437e-07,5.727100627900509e-07,3.203491917523863e-07,4.2744815964818706e-07,3.823856140310803e-07,6.872160804193684e-07,3.8970194675631934e-07,4.171977110449896e-07,1.1165249995625603e-06,4.0516814231834844e-07,1.0618406683995758e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,1.3751840316666596e-06,-1.7465858015713728e-06,-1.0964151919781639e-07,3.292183217234698e-07,2.661298975292865e-07,5.412118295398641e-07,3.8836853608807413e-07,3.040774211485458e-07,4.329580844222342e-07,4.5332863213264156e-07,4.0419990763558e-07,2.953870711790773e-07,3.7773478236944085e-07,2.652568708321474e-07,7.249123158613941e-07,2.778328908787435e-07,6.512336119183076e-07,4.2649807542898467e-07,3.056965183858166e-07,4.82490471945587e-07,1.408458401644772e-06,2.3454395907788145e-06,7.482989246879312e-07,1.9884886654478636e-06,2.7282811552311276e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
