,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
65.0,1.1272884804186997e-06,3.609752603661887e-07,7.801653723958333e-07,7.926274453125e-07,3.554031066735328e-07,1.4694068462310957e-06,2.0160040234375e-07,3.690955233433343e-07,4.5531221520031705e-07,2.0965520999042668e-07,1.1265952480491242e-06,4.030802081559597e-07,1.0029124564583503e-06,3.241947740885416e-07,1.948260224609375e-07,1.9214618912760417e-07,1.8433034309895834e-07,2.897038905490451e-07,3.504850442708333e-07,2.663629831922743e-07,4.0688641180218887e-07,9.626580334556008e-07,5.969492998030516e-07,1.6763793532364583e-06,3.0780432682291656e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,4.634056832436442e-07,2.7808523088357197e-07,1.2628601923718807e-06,6.2782587621474e-07,1.5063829233206878e-06,3.39812368943572e-07,1.1518258740701152e-06,8.00328484375e-07,1.0657193173909475e-06,1.0439637232180916e-06,1.0907205142418305e-06,1.0131491187529403e-06,1.668570269952406e-06,1.9933277766927082e-07,1.1019314598983363e-06,1.7824769824218748e-07,1.6802925260416664e-06,3.48903833984375e-07,6.481837346878037e-07,3.370161128379935e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,3.5547430567664644e-07,3.6493171283324356e-07,3.5237616853802273e-07,6.916374853283426e-07,4.278353966770303e-07,6.036545763164072e-07,1.6738960124410197e-06,4.196114291323894e-07,1.7420949043676727e-07,1.0914368144122266e-06,7.789403347368593e-06,8.782544303867597e-07,4.124990843503405e-07,4.0477223470551e-07,1.1413409287893098e-05,1.0949720618536384e-06,2.888944847005208e-07,1.376152626308133e-06,9.82742018183948e-07,1.538336014240576e-06,1.0227283272569442e-06,2.4752857292751733e-07,2.507182692057292e-07,6.330132368000612e-07,1.5480169999999999e-06,1.1692122600842816e-06,2.6098771025318954e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,1.7514538509114582e-07,1.2651751685957019e-06,4.3261222855252657e-07,6.639240921760972e-07,1.6264991846809779e-06,1.3940726207721837e-06,3.557807484967742e-07,1.6895300770872823e-06,3.327191549479166e-07,4.066882607443626e-07,4.1769907857898845e-07,1.222321948353599e-05,2.886348029506789e-07,3.5087939321280356e-06,1.0343183159293307e-05,7.671823457305821e-07,2.7947506130322127e-07,6.691751323320941e-07,2.3010322526041665e-07,9.921989141223049e-07,7.191534546972828e-07,1.4329036536458333e-06,8.175386002604165e-07,1.303792068244086e-07,3.5886124481188117e-07,1.133140367416605e-06,2.5715556550012913e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,1.4244014913698619e-06,1.0022095015422592e-06,7.386195104900211e-07,2.3270311454323297e-07,1.5871448060622744e-06,4.1570497946839446e-07,3.5726154988145316e-07,4.196725193878005e-07,1.3099742679774695e-05,7.061685284739948e-07,6.801667969799965e-07,8.116328389183467e-07,4.1776145396545306e-07,6.502385088675507e-07,9.435221829960122e-08,4.398532363656394e-07,2.524978168980066e-07,2.3802472013359772e-07,1.1740087627172954e-06,2.0871725990920597e-07,2.140795078125e-07,3.690667947180337e-07,2.9485358496093754e-07,1.3803980494791667e-06,3.7066573411215585e-07,3.694738249663021e-07,1.4296361217529592e-06,2.02019439453125e-07,1.727390198567708e-07,8.334307682291666e-07,2.388326441731771e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,1.3358485130208333e-06,2.273133540592114e-07,1.1718297513796245e-06,2.7261770411913804e-07,8.546436822916665e-07,3.07050198186071e-07,4.4742524914601646e-07,1.618709977266841e-06,1.8691942024739582e-07,2.7657391913812567e-06,1.19161794831992e-06,2.7032157279023863e-07,7.525754105478725e-07,4.3564687820801437e-07,8.324342468117289e-07,1.5593362817846403e-06,5.906832240587082e-07,1.4849617122063112e-06,3.882943469134105e-07,2.3654367045355898e-07,5.403595447319715e-07,5.506391132244883e-07,5.660754978321886e-07,1.7176950601220572e-06,4.33968455008088e-07,3.818754907738698e-07,3.307283928574224e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,8.486707708333332e-07,2.3624041647135417e-07,2.978362163024769e-07,4.219516130154431e-07,1.0058121934829395e-06,2.762474377553499e-06,3.8264032711519766e-07,1.3923316510416665e-06,1.6989268325197865e-06,4.183845396276797e-07,7.703108825227592e-07,4.079035338047e-07,4.197507195703818e-07,1.1641546445142462e-06,1.5868342114550063e-06,2.277840193365579e-06,3.0117543803748767e-06,5.726081369379684e-07,1.4377387395833334e-06,1.2797369338465946e-06,1.4287017775416674e-06,1.8161470492767648e-06,8.020934935769028e-07,3.291258413833823e-07,1.6737070279947914e-07,3.5283158494614915e-06,3.674937126908489e-07,3.6194004970769856e-07,2.1492721815617553e-06,7.556271630515857e-07,2.8189207636811745e-07,2.78235581827836e-07,1.7239398718783884e-06,3.8800632496257523e-07,4.253250843651217e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,4.2115307533903867e-07,3.863194547547943e-07,2.0287139780056843e-07,5.359690095994436e-07,1.4650551318097038e-05,1.6316857356770833e-07,2.617337616466546e-06,2.0934987484882662e-07,2.807119062276007e-07,8.330141551640759e-07,2.789472429273401e-07,2.0265926723854026e-07,4.3643185618726115e-07,4.7372831878259315e-07,4.474752629137112e-07,8.325078867187499e-07,2.3769035843098956e-07,2.3783992012803818e-07,2.390972329861111e-07,1.7991863618257373e-06,1.5282450260416665e-06,4.064520958153724e-06,1.5095337442758542e-06,1.0356482083333335e-07,7.602363907968632e-07,1.038792260560652e-06,7.767806981306366e-07,9.561311047634878e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,5.517282291959493e-06,2.8615698185737355e-07,1.1754279424992013e-06,1.1755532436252091e-06,7.908182430363821e-07,4.3567685603677756e-07,1.7340649739400445e-06,1.528186005859375e-07,3.6637090783612965e-07,3.9655234969944623e-07,1.1705166378308086e-06,7.23513687847972e-07,1.3064127805447048e-07,5.332437511135001e-07,1.4760550442700918e-06,1.3577107193956006e-06,5.427105148311906e-07,3.224469129311068e-07,2.40033582139757e-07,1.3678640056415522e-05,1.908823014969174e-07,1.4101128471354422e-05,2.7187227562244653e-06,4.324028993642039e-07,4.2367704377888985e-07,4.2609484641981264e-07,1.7627457871110772e-06,1.5193699578740891e-05,2.2470721166527617e-07,9.167500537651909e-08,1.5382538827291157e-07,1.284126971946572e-05,2.4211053621877064e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,1.4696497596839126e-07,1.3036326966603303e-05,1.6259188385416667e-06,1.2801686701010852e-06,8.462318697916665e-07,8.226266381570807e-07,8.368753039619616e-07,1.7385238046088817e-06,8.980657850558145e-07,2.3852482822265625e-07,4.268080497871956e-07,2.4070289873046873e-07,2.0779664385783565e-06,3.8931232956794863e-07,2.9957073461715555e-07,1.4586509002593614e-06,1.5496521536458584e-05,1.5596834962501792e-05,1.562358836689669e-05,1.057670079121074e-06,2.082280389612611e-07,2.057300114915698e-07,1.3609389146907385e-06,2.682437150629911e-07,3.217597205331747e-06,4.49326630260046e-07,1.4604186621093748e-07,1.628294160515353e-06,2.452476819702852e-07,5.025353481699733e-07,2.4922046295502277e-06,7.698588692829214e-07,4.251143502378422e-07,4.956243916149453e-07,3.7025586776320217e-07,4.4130529015780127e-07,1.7421297683526698e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
