,alt,rh,temp,att_bsc
0,2.99218487739563,76.71675109863281,5.70001220703125,-
1,11.968755722045898,79.30049133300781,5.740020751953125,-
2,17.984999656677246,-,-,1.9188772095429922
3,25.034700393676758,79.52510070800781,5.6400146484375,-
4,36.10588455200195,79.35696411132812,5.55999755859375,-
5,45.381771087646484,79.02161407470703,5.510009765625,-
6,47.984999656677246,-,-,2.3383004002691754
7,51.66545104980469,79.02173614501953,5.459991455078125,-
8,55.954322814941406,79.35731506347656,5.410003662109375,-
9,66.32742309570312,79.80733489990234,5.300018310546875,-
10,76.80030059814453,79.92040252685547,5.220001220703125,-
11,77.98499965667725,-,-,2.178435805374968
12,85.47785186767578,80.09012603759766,5.19000244140625,-
13,94.25517272949219,81.05951690673828,5.029998779296875,-
14,107.32144927978516,81.40489959716797,4.910003662109375,-
15,107.98499965667725,-,-,2.035375315816191
16,117.29574584960938,81.46275329589844,4.82000732421875,-
17,128.865966796875,82.15868377685547,4.730010986328125,-
18,137.98499965667725,-,-,1.8954460677211187
19,141.53341674804688,82.45071411132812,4.6300048828125,-
20,147.2188262939453,82.97906494140625,4.58001708984375,-
21,157.4924774169922,83.92768859863281,4.5,-
22,167.98499965667725,-,-,1.860862836508466
23,168.264892578125,84.58695220947266,4.399993896484375,-
24,178.5386199951172,85.00956726074219,4.279998779296875,-
25,190.1090545654297,85.00972747802734,4.170013427734375,-
26,197.98499965667725,-,-,1.8986201438440262
27,199.18589782714844,85.0098648071289,4.07000732421875,-
28,206.76658630371094,86.16846466064453,4.010009765625,-
29,217.83839416503906,86.5998764038086,3.8900146484375,-
30,227.98499965667725,-,-,1.8895369668339668
31,230.00746154785156,87.46975708007812,3.779998779296875,-
32,241.97708129882812,87.90840148925781,3.670013427734375,-
33,252.74978637695312,88.6659927368164,3.55999755859375,-
34,257.98499965667725,-,-,1.8789572746956358
35,264.6197509765625,88.92020416259766,3.45001220703125,-
36,274.9935302734375,89.36693572998047,3.360015869140625,-
37,285.7663269042969,89.68760681152344,3.230010986328125,-
38,287.98499965667725,-,-,1.9245244061348432
39,297.8359069824219,90.26792907714844,3.1300048828125,-
40,310.10504150390625,91.30992889404297,3.010009765625,-
41,317.98499965667725,-,-,1.9733210767198615
42,322.8729553222656,91.44120025634766,2.8699951171875,-
43,337.4364318847656,91.7701416015625,2.740020751953125,-
44,347.98499965667725,-,-,1.9738689921046755
45,352.199462890625,93.23297119140625,2.610015869140625,-
46,364.1695251464844,93.23302459716797,2.480010986328125,-
47,373.94512939453125,92.49847412109375,2.3900146484375,-
48,377.98499965667725,-,-,1.965979186205546
49,383.12225341796875,94.58544921875,2.300018310546875,-
50,393.7956848144531,96.5156478881836,2.209991455078125,-
51,402.1748352050781,96.58541107177734,2.110015869140625,-
52,407.98499965667725,-,-,2.007353248150932
53,415.9406433105469,97.0751953125,2.0,-
54,424.3198547363281,96.86497497558594,1.910003662109375,-
55,437.5870056152344,97.00509643554688,1.800018310546875,-
56,437.98499965667725,-,-,2.5508922888236754
57,447.46258544921875,96.3068618774414,1.70001220703125,-
58,461.9268493652344,97.2156982421875,1.589996337890625,-
59,467.98499965667725,-,-,4.342137129575514
60,475.69293212890625,97.8504867553711,1.459991455078125,-
61,490.45660400390625,99.63812255859375,1.339996337890625,-
62,497.98499965667725,-,-,7.380457326808333
63,507.0159606933594,100.0,1.20001220703125,-
64,522.8770751953125,100.0,1.07000732421875,-
65,527.9849996566772,-,-,11.695601369840176
66,536.1446533203125,100.0,0.959991455078125,-
67,549.1129760742188,100.0,0.8699951171875,-
68,557.9849996566772,-,-,13.748258671795245
69,559.88671875,98.63264465332031,0.730010986328125,-
